Date,BTC
2016-01-05,434.91
2016-01-06,432.24
2016-01-07,459.0
2016-01-08,465.0
2016-01-09,456.01
2016-01-10,451.51
2016-01-11,452.49
2016-01-12,450.05
2016-01-13,446.75
2016-01-14,435.0
2016-01-15,429.43
2016-01-16,392.5
2016-01-17,393.31
2016-01-18,390.0
2016-01-19,388.61
2016-01-20,428.0
2016-01-21,424.57
2016-01-22,411.2
2016-01-23,394.81
2016-01-24,407.33
2016-01-25,402.77
2016-01-26,396.99
2016-01-27,396.99
2016-01-28,395.48
2016-01-29,386.0
2016-01-30,380.6
2016-01-31,378.9
2016-02-01,379.27
2016-02-02,374.8
2016-02-03,374.0
2016-02-04,393.89
2016-02-05,393.0
2016-02-06,386.54
2016-02-07,377.8
2016-02-08,377.0
2016-02-09,377.96
2016-02-10,387.0
2016-02-11,383.23
2016-02-12,383.53
2016-02-13,393.0
2016-02-14,408.66
2016-02-15,412.5
2016-02-16,408.77
2016-02-17,421.9
2016-02-18,426.21
2016-02-19,422.54
2016-02-20,445.96
2016-02-21,451.6
2016-02-22,442.5
2016-02-23,442.67
2016-02-24,427.5
2016-02-25,430.0
2016-02-26,435.9
2016-02-27,438.6
2016-02-28,437.89
2016-02-29,445.0
2016-03-01,442.79
2016-03-02,436.45
2016-03-03,424.43
2016-03-04,423.99
2016-03-05,410.14
2016-03-06,409.5
2016-03-07,415.8
2016-03-08,416.0
2016-03-09,414.5
2016-03-10,418.24
2016-03-11,423.6
2016-03-12,421.81
2016-03-13,416.0
2016-03-14,417.99
2016-03-15,418.82
2016-03-16,418.0
2016-03-17,420.6
2016-03-18,419.1
2016-03-19,409.67
2016-03-20,413.2
2016-03-21,412.42
2016-03-22,418.68
2016-03-23,419.72
2016-03-24,419.27
2016-03-25,417.03
2016-03-26,419.4
2016-03-27,431.0
2016-03-28,427.99
2016-03-29,426.41
2016-03-30,416.21
2016-03-31,418.25
2016-04-01,417.6
2016-04-02,422.8
2016-04-03,421.82
2016-04-04,421.2
2016-04-05,425.0
2016-04-06,424.68
2016-04-07,423.25
2016-04-08,424.49
2016-04-09,419.43
2016-04-10,422.9
2016-04-11,423.9
2016-04-12,430.0
2016-04-13,427.68
2016-04-14,426.49
2016-04-15,432.49
2016-04-16,435.67
2016-04-17,433.49
2016-04-18,430.91
2016-04-19,437.53
2016-04-20,446.61
2016-04-21,454.5
2016-04-22,453.15
2016-04-23,454.95
2016-04-24,464.99
2016-04-25,471.58
2016-04-26,471.99
2016-04-27,470.17
2016-04-28,449.84
2016-04-29,457.49
2016-04-30,455.99
2016-05-01,452.99
2016-05-02,452.5
2016-05-03,452.0
2016-05-04,451.65
2016-05-05,451.68
2016-05-06,466.0
2016-05-07,463.05
2016-05-08,461.4
2016-05-09,465.4
2016-05-10,465.0
2016-05-11,454.68
2016-05-12,456.75
2016-05-13,457.5
2016-05-14,458.86
2016-05-15,460.67
2016-05-16,458.95
2016-05-17,454.91
2016-05-18,457.0
2016-05-19,454.91
2016-05-20,443.14
2016-05-21,442.16
2016-05-22,441.46
2016-05-23,442.97
2016-05-24,447.85
2016-05-25,450.51
2016-05-26,454.8
2016-05-27,482.31
2016-05-28,539.97
2016-05-29,570.0
2016-05-30,548.5
2016-05-31,546.5
2016-06-01,546.12
2016-06-02,544.0
2016-06-03,579.94
2016-06-04,593.89
2016-06-05,586.47
2016-06-06,588.6
2016-06-07,592.08
2016-06-08,585.15
2016-06-09,584.05
2016-06-10,582.43
2016-06-11,595.0
2016-06-12,685.0
2016-06-13,719.0
2016-06-14,705.88
2016-06-15,699.4
2016-06-16,779.0
2016-06-17,780.0
2016-06-18,789.78
2016-06-19,775.0
2016-06-21,742.98
2016-06-22,688.32
2016-06-23,639.0
2016-06-24,679.99
2016-06-25,698.0
2016-06-26,671.46
2016-06-27,655.14
2016-06-28,664.26
2016-06-29,649.1
2016-06-30,677.0
2016-07-01,690.62
2016-07-02,706.0
2016-07-03,706.98
2016-07-04,679.8
2016-07-05,684.44
